contract,act_symbol,expiration,call_put,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,date,stock_price,T,mid_price,risk_free_rate,BS_price,BT_price,MC_price,Random Forest_ML_price,XGBoost_ML_price,Linear Regression_ML_price,SVR_ML_price,BS_error,BT_error,MC_error,Random Forest_ML_error,XGBoost_ML_error,Linear Regression_ML_error,SVR_ML_error,BS_error_pct,BT_error_pct,MC_error_pct,Random Forest_ML_error_pct,XGBoost_ML_error_pct,Linear Regression_ML_error_pct,SVR_ML_error_pct
AAPL130104C00400000,AAPL,2013-01-04,call,400,A,146.9,,150.6,,0,21,02-01-2013,1.0,0.0,-1.2112,0.0,0.3726,2013-01-02,549.029976,0.005479452054794521,148.75,0.05,149.1395500302694,149.13955003026487,149.34023747060948,116.06926475914881,148.27101,-6.726217957555868,119.39014422559616,0.3895500302693904,0.38955003026487134,0.5902374706094804,-32.68073524085119,-0.4789886474609375,-155.47621795755586,-29.35985577440384,0.26188237329034647,0.26188237328730846,0.39679829956939855,-21.97024217872349,-0.3220091747636555,-104.52182719835687,-19.737718167666447
AAPL130104P00400000,AAPL,2013-01-04,put,400,A,0.0,,0.01,,48,823,02-01-2013,0.0,0.0,0.0,0.0,0.6095,2013-01-02,549.029976,0.005479452054794521,0.005,0.05,3.094170530555095e-12,1.824054127714168e-13,0.0,2.0157422640245057,0.0072577703,97.77019868060778,119.39014422559616,-0.004999999996905829,-0.004999999999817595,-0.005,2.010742264024506,0.0022577702812850474,97.76519868060778,119.38514422559616,-99.99999993811659,-99.9999999963519,-100.0,40214.84528049012,45.15540562570094,1955303.9736121555,2387702.8845119234
AAPL130104C00405000,AAPL,2013-01-04,call,405,A,141.9,,145.45,,0,0,02-01-2013,1.0,0.0,-1.2263,0.0,0.3726,2013-01-02,549.029976,0.005479452054794521,143.675,0.05,144.14091970564778,144.14091970564337,143.8836237619642,110.69103596063287,144.17412,-5.6319103622074564,119.39014422559616,0.46591970564776375,0.4659197056433584,0.20862376196419063,-32.98396403936714,0.49911804199217613,-149.30691036220747,-24.28485577440385,0.32428724945033144,0.3242872494472652,0.14520533284439924,-22.95734403296825,0.3473937998901521,-103.9198958498051,-16.90263147687757
AAPL130104P00405000,AAPL,2013-01-04,put,405,A,0.0,,0.01,,15,125,02-01-2013,0.0,0.0,0.0,0.0,0.6095,2013-01-02,549.029976,0.005479452054794521,0.005,0.05,2.236935636447983e-11,2.674212697294946e-12,0.0,2.5128696616930157,0.047398176,98.86450627595619,119.39014422559616,-0.004999999977630644,-0.004999999997325788,-0.005,2.507869661693016,0.042398176044225695,98.85950627595619,119.38514422559616,-99.99999955261288,-99.99999994651574,-100.0,50157.39323386032,847.9635208845139,1977190.1255191239,2387702.8845119234
AAPL130104C00410000,AAPL,2013-01-04,call,410,A,136.9,,140.4,,0,0,02-01-2013,1.0,0.0,-1.2415,0.0,0.3726,2013-01-02,549.029976,0.005479452054794521,138.65,0.05,139.14228938102616,139.14228938102175,138.78392366875207,103.12208405937517,141.88849,-4.537602766859045,119.39014422559616,0.49228938102615416,0.4922893810217488,0.13392366875206108,-35.52791594062484,3.2384887695312443,-143.18760276685904,-19.259855774403846,0.3550590559150048,0.35505905591182746,0.09659117832820849,-25.624173054904315,2.3357293685764473,-103.27270304136967,-13.890988658062636
AAPL130104C00400000,AAPL,2013-01-04,call,400,A,140.2,,143.05,,0,21,03-01-2013,1.0,0.0,-1.2112,0.0,0.6783,2013-01-03,542.099991,0.0027397260273972603,141.625,0.05,142.15478176767,142.15478176767402,141.95745089124205,116.06926475914881,145.97882,-8.813066098581459,119.39014422559616,0.5297817676699879,0.5297817676740237,0.33245089124204696,-25.55573524085119,4.35382080078125,-150.43806609858146,-22.23485577440384,0.37407362236186253,0.37407362236471225,0.23474025859985662,-18.044649772886984,3.0741894445057367,-106.22281807490306,-15.69980990249168
AAPL130104P00400000,AAPL,2013-01-04,put,400,A,0.0,,0.01,,0,828,03-01-2013,0.0,0.0,0.0,0.0,0.6837,2013-01-03,542.099991,0.0027397260273972603,0.005,0.05,1.8375568796590445e-17,2.6639732089712708e-20,0.0,2.0157422640245057,-0.010105616,97.50210931686145,119.39014422559616,-0.004999999999999982,-0.005,-0.005,2.010742264024506,-0.015105616413056851,97.49710931686145,119.38514422559616,-99.99999999999963,-100.0,-100.0,40214.84528049012,-302.112328261137,1949942.1863372293,2387702.8845119234
AAPL130104C00405000,AAPL,2013-01-04,call,405,A,135.4,,138.85,,0,0,03-01-2013,1.0,0.0,-1.2263,0.0,0.6783,2013-01-03,542.099991,0.0027397260273972603,137.125,0.05,137.15546665226583,137.1554666522698,137.12633278545766,110.69103596063287,137.08888,-7.7187585032330475,119.39014422559616,0.030466652265829453,0.030466652269808492,0.0013327854576630216,-26.433964039367126,-0.0361175537109375,-144.84375850323306,-17.73485577440384,0.02221816026678538,0.02221816026968714,0.0009719492854424952,-19.277275507286873,-0.02633914582383774,-105.62899435058017,-12.933349698744825
AAPL130104P00405000,AAPL,2013-01-04,put,405,A,0.0,,0.01,,0,125,03-01-2013,0.0,0.0,0.0,0.0,0.6837,2013-01-03,542.099991,0.0027397260273972603,0.005,0.05,3.603556608392977e-16,1.9904572725780773e-18,0.0,2.5128696616930157,0.085812554,98.59641691220986,119.39014422559616,-0.00499999999999964,-0.004999999999999998,-0.005,2.507869661693016,0.08081255376338958,98.59141691220987,119.38514422559616,-99.99999999999281,-99.99999999999997,-100.0,50157.39323386032,1616.2510752677917,1971828.3382441972,2387702.8845119234
AAPL130104C00410000,AAPL,2013-01-04,call,410,A,130.4,,133.85,,0,0,03-01-2013,1.0,0.0,-1.2415,0.0,0.6783,2013-01-03,542.099991,0.0027397260273972603,132.125,0.05,132.15615153686178,132.1561515368659,132.13540209403416,103.12208405937517,132.11635,-6.624450907884636,119.39014422559616,0.031151536861784734,0.031151536865905882,0.010402094034162701,-29.00291594062483,-0.0086517333984375,-138.74945090788464,-12.73485577440384,0.023577322128124682,0.02357732213124381,0.007872918852724845,-21.95111897114462,-0.006548142591059602,-105.01377552157778,-9.638490652339708
